"site","date","count"
"M-1",2024-03-10,0
"M-1",2024-03-11,0
"M-1",2024-03-12,0
"M-1",2024-03-13,0
"M-1",2024-03-14,0
"M-1",2024-03-15,0
"M-1",2024-03-16,0
"M-1",2024-03-17,0
"M-1",2024-03-18,0
"M-1",2024-03-19,0
"M-1",2024-03-20,1
"M-1",2024-03-21,0
"M-1",2024-03-22,0
"M-1",2024-03-23,2
"M-1",2024-03-24,0
"M-1",2024-03-25,0
"M-1",2024-03-26,0
"M-1",2024-03-27,0
"M-1",2024-03-28,0
"M-1",2024-03-29,0
"M-1",2024-03-30,0
"M-1",2024-03-31,0
"M-1",2024-04-01,0
"M-1",2024-04-02,0
"M-1",2024-04-03,0
"M-1",2024-04-04,0
"M-1",2024-04-05,0
"M-1",2024-04-06,0
"M-1",2024-04-07,0
"M-1",2024-04-08,0
"M-1",2024-04-09,0
"M-1",2024-04-10,0
"M-1",2024-04-11,0
"M-1",2024-04-12,0
"M-1",2024-04-13,0
"M-1",2024-04-14,0
"M-1",2024-04-15,0
"M-1",2024-04-16,0
"M-1",2024-04-17,0
"M-1",2024-04-18,0
"M-1",2024-04-19,0
"M-1",2024-04-20,0
"M-1",2024-04-21,0
"M-1",2024-04-22,0
"M-1",2024-04-23,0
"M-1",2024-04-24,0
"M-1",2024-04-25,0
"M-1",2024-04-26,0
"M-1",2024-04-27,0
"M-1",2024-04-28,0
"M-1",2024-04-29,0
"M-1",2024-04-30,0
"M-1",2024-05-01,0
"M-1",2024-05-02,0
"M-1",2024-05-03,0
"M-1",2024-05-04,0
"M-1",2024-05-05,0
"M-1",2024-05-06,0
"M-1",2024-05-07,0
"M-1",2024-05-08,0
"M-1",2024-05-09,0
"M-1",2024-05-10,0
"M-1",2024-05-11,0
"M-1",2024-05-12,0
"M-1",2024-05-13,0
"M-1",2024-05-14,0
"M-1",2024-05-15,0
"M-1",2024-05-16,0
"M-1",2024-05-17,0
"M-1",2024-05-18,0
"M-1",2024-05-19,0
"M-1",2024-05-20,0
"M-1",2024-05-21,0
"M-1",2024-05-22,0
"M-1",2024-05-23,0
"M-1",2024-05-24,0
"M-1",2024-05-25,0
"M-1",2024-05-26,0
"M-1",2024-05-27,0
"M-1",2024-05-28,0
"M-1",2024-05-29,0
"M-1",2024-05-30,0
"M-1",2024-05-31,1
"M-1",2024-06-01,0
"M-1",2024-06-02,0
"M-1",2024-06-03,0
"M-1",2024-06-04,0
"M-1",2024-06-05,0
"M-1",2024-06-06,0
"M-1",2024-06-07,0
"M-1",2024-06-08,0
"M-1",2024-06-09,0
"M-1",2024-06-10,0
"M-1",2024-06-11,0
"M-1",2024-06-12,0
"M-1",2024-06-13,0
"M-1",2024-06-14,0
"M-1",2024-06-15,0
"M-1",2024-06-16,0
"M-1",2024-06-17,0
"M-1",2024-06-18,1
"M-1",2024-06-19,0
"M-1",2024-06-20,0
"M-1",2024-06-21,2
"M-1",2024-06-22,1
"M-1",2024-06-23,0
"M-1",2024-06-24,0
"M-1",2024-06-25,0
"M-1",2024-06-26,1
"M-1",2024-06-27,1
"M-1",2024-06-28,0
"M-10",2024-03-10,0
"M-10",2024-03-11,0
"M-10",2024-03-12,0
"M-10",2024-03-13,0
"M-10",2024-03-14,0
"M-10",2024-03-15,0
"M-10",2024-03-16,0
"M-10",2024-03-17,0
"M-10",2024-03-18,0
"M-10",2024-03-19,0
"M-10",2024-03-20,0
"M-10",2024-03-21,0
"M-10",2024-03-22,0
"M-10",2024-03-23,0
"M-10",2024-03-24,0
"M-10",2024-03-25,0
"M-10",2024-03-26,0
"M-10",2024-03-27,0
"M-10",2024-03-28,0
"M-10",2024-03-29,0
"M-10",2024-03-30,0
"M-10",2024-03-31,0
"M-10",2024-04-01,0
"M-10",2024-04-02,0
"M-10",2024-04-03,0
"M-10",2024-04-04,0
"M-10",2024-04-05,0
"M-10",2024-04-06,0
"M-10",2024-04-07,0
"M-10",2024-04-08,0
"M-10",2024-04-09,0
"M-10",2024-04-10,0
"M-10",2024-04-11,0
"M-10",2024-04-12,0
"M-10",2024-04-13,0
"M-10",2024-04-14,0
"M-10",2024-04-15,0
"M-10",2024-04-16,0
"M-10",2024-04-17,0
"M-10",2024-04-18,0
"M-10",2024-04-19,0
"M-10",2024-04-20,0
"M-10",2024-04-21,0
"M-10",2024-04-22,0
"M-10",2024-04-23,0
"M-10",2024-04-24,0
"M-10",2024-04-25,0
"M-10",2024-04-26,0
"M-10",2024-04-27,0
"M-10",2024-04-28,0
"M-10",2024-04-29,0
"M-10",2024-04-30,0
"M-10",2024-05-01,0
"M-10",2024-05-02,0
"M-10",2024-05-03,0
"M-10",2024-05-04,0
"M-10",2024-05-05,0
"M-10",2024-05-06,0
"M-10",2024-05-07,0
"M-10",2024-05-08,0
"M-10",2024-05-09,0
"M-10",2024-05-10,0
"M-10",2024-05-11,0
"M-10",2024-05-12,0
"M-10",2024-05-13,0
"M-10",2024-05-14,0
"M-10",2024-05-15,0
"M-10",2024-05-16,0
"M-10",2024-05-17,0
"M-10",2024-05-18,0
"M-10",2024-05-19,0
"M-10",2024-05-20,1
"M-10",2024-05-21,0
"M-10",2024-05-22,1
"M-10",2024-05-23,0
"M-10",2024-05-24,0
"M-10",2024-05-25,0
"M-10",2024-05-26,0
"M-10",2024-05-27,0
"M-10",2024-05-28,0
"M-10",2024-05-29,0
"M-10",2024-05-30,0
"M-10",2024-05-31,0
"M-10",2024-06-01,0
"M-10",2024-06-02,0
"M-10",2024-06-03,0
"M-10",2024-06-04,0
"M-10",2024-06-05,0
"M-10",2024-06-06,0
"M-10",2024-06-07,0
"M-10",2024-06-08,0
"M-10",2024-06-09,0
"M-10",2024-06-10,0
"M-10",2024-06-11,0
"M-10",2024-06-12,0
"M-10",2024-06-13,0
"M-10",2024-06-14,0
"M-10",2024-06-15,0
"M-10",2024-06-16,0
"M-10",2024-06-17,0
"M-10",2024-06-18,0
"M-10",2024-06-19,0
"M-10",2024-06-20,0
"M-10",2024-06-21,0
"M-10",2024-06-22,0
"M-10",2024-06-23,0
"M-10",2024-06-24,0
"M-10",2024-06-25,0
"M-10",2024-06-26,0
"M-10",2024-06-27,0
"M-10",2024-06-28,0
"M-11",2024-03-10,0
"M-11",2024-03-11,0
"M-11",2024-03-12,0
"M-11",2024-03-13,0
"M-11",2024-03-14,0
"M-11",2024-03-15,0
"M-11",2024-03-16,0
"M-11",2024-03-17,0
"M-11",2024-03-18,0
"M-11",2024-03-19,0
"M-11",2024-03-20,0
"M-11",2024-03-21,0
"M-11",2024-03-22,0
"M-11",2024-03-23,0
"M-11",2024-03-24,0
"M-11",2024-03-25,0
"M-11",2024-03-26,0
"M-11",2024-03-27,0
"M-11",2024-03-28,0
"M-11",2024-03-29,0
"M-11",2024-03-30,0
"M-11",2024-03-31,0
"M-11",2024-04-01,0
"M-11",2024-04-02,0
"M-11",2024-04-03,0
"M-11",2024-04-04,0
"M-11",2024-04-05,0
"M-11",2024-04-06,0
"M-11",2024-04-07,0
"M-11",2024-04-08,0
"M-11",2024-04-09,0
"M-11",2024-04-10,0
"M-11",2024-04-11,0
"M-11",2024-04-12,0
"M-11",2024-04-13,0
"M-11",2024-04-14,0
"M-11",2024-04-15,0
"M-11",2024-04-16,0
"M-11",2024-04-17,0
"M-11",2024-04-18,0
"M-11",2024-04-19,0
"M-11",2024-04-20,0
"M-11",2024-04-21,0
"M-11",2024-04-22,0
"M-11",2024-04-23,0
"M-11",2024-04-24,0
"M-11",2024-04-25,0
"M-11",2024-04-26,0
"M-11",2024-04-27,0
"M-11",2024-04-28,0
"M-11",2024-04-29,0
"M-11",2024-04-30,0
"M-11",2024-05-01,0
"M-11",2024-05-02,0
"M-11",2024-05-03,2
"M-11",2024-05-04,9
"M-11",2024-05-05,2
"M-11",2024-05-06,0
"M-11",2024-05-07,0
"M-11",2024-05-08,0
"M-11",2024-05-09,0
"M-11",2024-05-10,0
"M-11",2024-05-11,0
"M-11",2024-05-12,0
"M-11",2024-05-13,0
"M-11",2024-05-14,0
"M-11",2024-05-15,5
"M-11",2024-05-16,29
"M-11",2024-05-17,36
"M-11",2024-05-18,13
"M-11",2024-05-19,1
"M-11",2024-05-20,13
"M-11",2024-05-21,1
"M-11",2024-05-22,3
"M-11",2024-05-23,1
"M-11",2024-05-24,5
"M-11",2024-05-25,8
"M-11",2024-05-26,14
"M-11",2024-05-27,6
"M-11",2024-05-28,52
"M-11",2024-05-29,14
"M-11",2024-05-30,12
"M-11",2024-05-31,0
"M-11",2024-06-01,2
"M-11",2024-06-02,0
"M-11",2024-06-03,1
"M-11",2024-06-04,50
"M-11",2024-06-05,3
"M-11",2024-06-06,1
"M-11",2024-06-07,22
"M-11",2024-06-08,6
"M-11",2024-06-09,3
"M-11",2024-06-10,4
"M-11",2024-06-11,0
"M-11",2024-06-12,0
"M-11",2024-06-13,2
"M-11",2024-06-14,0
"M-11",2024-06-15,0
"M-11",2024-06-16,0
"M-11",2024-06-17,0
"M-11",2024-06-18,0
"M-11",2024-06-19,0
"M-11",2024-06-20,0
"M-11",2024-06-21,0
"M-11",2024-06-22,0
"M-11",2024-06-23,0
"M-11",2024-06-24,0
"M-11",2024-06-25,0
"M-11",2024-06-26,0
"M-11",2024-06-27,0
"M-11",2024-06-28,0
"M-12",2024-03-10,0
"M-12",2024-03-11,0
"M-12",2024-03-12,0
"M-12",2024-03-13,0
"M-12",2024-03-14,0
"M-12",2024-03-15,0
"M-12",2024-03-16,0
"M-12",2024-03-17,0
"M-12",2024-03-18,0
"M-12",2024-03-19,0
"M-12",2024-03-20,0
"M-12",2024-03-21,0
"M-12",2024-03-22,0
"M-12",2024-03-23,0
"M-12",2024-03-24,0
"M-12",2024-03-25,0
"M-12",2024-03-26,0
"M-12",2024-03-27,0
"M-12",2024-03-28,0
"M-12",2024-03-29,0
"M-12",2024-03-30,0
"M-12",2024-03-31,0
"M-12",2024-04-01,0
"M-12",2024-04-02,0
"M-12",2024-04-03,0
"M-12",2024-04-04,0
"M-12",2024-04-05,0
"M-12",2024-04-06,0
"M-12",2024-04-07,0
"M-12",2024-04-08,0
"M-12",2024-04-09,0
"M-12",2024-04-10,0
"M-12",2024-04-11,0
"M-12",2024-04-12,0
"M-12",2024-04-13,0
"M-12",2024-04-14,0
"M-12",2024-04-15,0
"M-12",2024-04-16,0
"M-12",2024-04-17,0
"M-12",2024-04-18,0
"M-12",2024-04-19,0
"M-12",2024-04-20,0
"M-12",2024-04-21,0
"M-12",2024-04-22,0
"M-12",2024-04-23,0
"M-12",2024-04-24,2
"M-12",2024-04-25,0
"M-12",2024-04-26,14
"M-12",2024-04-27,1
